latitude,longitude,zipcode
41.869779,-88.06285,60137
41.839679,-88.088716,60138
41.920228,-88.07891,60139
42.086218,-88.5036,60140
41.858028,-87.83865,60141
42.171973,-88.42891,60142
41.972328,-88.02196,60143
41.936977,-88.420178,60144
42.102014,-88.76647,60145
42.100571,-88.87665,60146
41.936977,-88.420178,60147
41.875429,-88.01723,60148
41.964197,-88.951205,60149
41.933061,-88.88293,60150
41.91842,-88.57626,60151
42.242199,-88.61034,60152
41.880281,-87.84455,60153
41.851257,-87.88351,60154
41.857931,-87.85477,60155
42.185733,-88.348484,60156
41.970628,-88.05606,60157
41.811929,-87.68732,60159
41.89988,-87.85978,60160
41.811929,-87.68732,60161
41.872997,-87.90101,60162
41.886794,-87.91052,60163
41.91823,-87.89627,60164
41.90158,-87.88046,60165
41.811929,-87.68732,60168
42.025776,-88.425931,60170
41.92583,-87.84013,60171
41.980761,-88.08704,60172
42.051927,-88.04814,60173
41.919808,-88.30498,60174
41.944577,-88.38326,60175
41.95683,-87.87193,60176
41.99215,-88.30609,60177
41.990505,-88.68704,60178
42.079336,-88.223655,60179
42.229437,-88.52606,60180
41.880429,-87.97813,60181
41.908736,-88.59915,60182
41.936977,-88.420178,60183
41.953427,-88.25176,60184
41.891978,-88.20502,60185
41.839679,-88.088716,60186
41.858279,-88.10904,60187
41.918578,-88.13688,60188
41.839679,-88.088716,60189
41.875228,-88.15261,60190
41.962979,-87.97688,60191
42.065827,-88.21399,60192
42.01299,-88.09675,60193
42.037108,-88.10719,60194
42.067809,-88.10828,60195
42.056376,-88.072522,60196
41.839679,-88.088716,60197
41.839679,-88.088716,60198
41.839679,-88.088716,60199
42.056391,-87.69684,60201
42.030327,-87.68828,60202
42.048879,-87.7175,60203
41.811929,-87.68732,60204
42.058629,-87.684506,60208
42.04973,-87.679408,60209
41.887981,-87.79562,60301
41.893941,-87.78899,60302
41.811929,-87.68732,60303
41.87355,-87.7885,60304
41.893031,-87.81718,60305
41.882081,-87.821359,60330
41.350484,-87.62408,60401
41.836981,-87.79095,60402
41.656592,-87.68154,60406
41.230524,-88.25503,60407
41.262178,-88.22307,60408
41.614188,-87.54638,60409
41.439518,-88.20898,60410
41.511307,-87.6101,60411
41.811929,-87.68732,60412
41.702482,-87.77869,60415
41.292011,-88.2783,60416
41.439034,-87.61173,60417
41.626839,-87.59865,60419
41.089453,-88.42783,60420
41.429681,-88.10284,60421
41.539384,-87.68424,60422
41.501178,-87.83875,60423
41.174117,-88.30954,60424
41.544584,-87.61289,60425
41.609078,-87.66264,60426
41.574034,-87.67857,60429
41.556734,-87.66464,60430
41.52493,-88.19022,60431
41.533631,-88.05592,60432
41.511644,-88.05698,60433
41.52543,-88.084208,60434
41.54338,-88.11963,60435
41.50798,-88.10553,60436
41.168761,-88.55792,60437
41.565685,-87.54819,60438
41.676028,-87.98258,60439
41.703097,-88.07462,60440
41.598235,-88.02753,60441
41.407474,-87.96883,60442
41.503468,-87.73695,60443
41.243419,-88.40325,60444
41.631683,-87.73309,60445
41.64273,-88.09934,60446
41.473553,-88.29167,60447
41.536782,-87.88582,60448
41.422555,-87.75531,60449
41.370642,-88.40749,60450
41.509231,-87.96475,60451
41.605633,-87.75356,60452
41.715082,-87.7546,60453
41.811929,-87.68732,60454
41.742432,-87.80678,60455
41.730533,-87.73198,60456
41.723782,-87.82825,60457
41.746432,-87.83557,60458
41.744082,-87.77022,60459
41.00148,-88.52981,60460
41.51829,-87.69274,60461
41.623532,-87.83542,60462
41.663548,-87.79148,60463
41.664582,-87.84378,60464
41.699432,-87.82977,60465
41.472934,-87.68767,60466
41.598255,-87.89201,60467
41.331114,-87.79917,60468
41.628034,-87.68694,60469
41.169068,-88.6494,60470
41.483844,-87.72134,60471
41.642933,-87.70814,60472
41.597472,-87.59909,60473
41.173313,-88.27494,60474
41.470084,-87.63369,60475
41.570384,-87.60839,60476
41.5738,-87.80389,60477
41.561134,-87.72398,60478
41.231718,-88.52659,60479
41.737616,-87.87778,60480
41.298186,-88.1464,60481
41.688827,-87.79265,60482
41.684752,-88.14203,60490
41.811929,-87.68732,60499
41.784832,-87.81,60501
41.760067,-88.25218,60504
41.756129,-88.29699,60505
41.766029,-88.35254,60506
41.936977,-88.420178,60507
41.845228,-88.30995,60510
41.75537,-88.54865,60511
41.706034,-88.41296,60512
41.822681,-87.84753,60513
41.779533,-87.95798,60514
41.80348,-88.01827,60515
41.761463,-88.01334,60516
41.75253,-88.04864,60517
41.599139,-88.91932,60518
41.778379,-88.24268,60519
41.776884,-88.64655,60520
41.772915,-87.92996,60521
41.839679,-88.088716,60522
41.837716,-87.96041,60523
41.788536,-87.87605,60525
41.829831,-87.8704,60526
41.839679,-88.088716,60527
41.792378,-88.9516,60530
41.620636,-88.78895,60531
41.789079,-88.08536,60532
41.812331,-87.82318,60534
41.598631,-88.55317,60536
41.56253,-88.59921,60537
41.721886,-88.32972,60538
41.823478,-88.3332,60539
41.764779,-88.14579,60540
41.529433,-88.53552,60541
